,Title,Company,Experience,Salary,City,URL
0,"
      Graphic Designer","
    HR Empower Consultancy
     (More Jobs) 
",0 - 2 yrs,Salary Information Not Available,(More Jobs),https://www.timesjobs.com/job-detail/graphic-designer-hr-empower-consultancy-jhajjar-srinagar-chandrapur-sangrur-meerut-0-to-2-yrs-jobid-G85Bf__PLUS__LhnwxzpSvf__PLUS__uAgZw==&source=srp
1,"
      Trainee engineer(Ludhiana)","
    2COMS Consulting Pvt Ltd
     (More Jobs) 
",0 - 1 yrs,Salary Information Not Available,(More Jobs),https://www.timesjobs.com/job-detail/trainee-engineer-ludhiana-2coms-ludhiana-0-to-1-yrs-jobid-d5a__PLUS__fMLpng9zpSvf__PLUS__uAgZw==&source=srp
2,"
      Computer Assistant","
    HR Empower Consultancy
     (More Jobs) 
",0 - 1 yrs,Salary Information Not Available,(More Jobs),https://www.timesjobs.com/job-detail/computer-assistant-hr-empower-consultancy-aurangabad-fatehgarh-sahib-tuticorin-gorakhpur-durgapur-0-to-1-yrs-jobid-1qScMA1enEJzpSvf__PLUS__uAgZw==&source=srp
3,"
      Computer Operator","
    HR Empower Consultancy
     (More Jobs) 
",0 - 1 yrs,Salary Information Not Available,(More Jobs),https://www.timesjobs.com/job-detail/computer-operator-hr-empower-consultancy-puri-amritsar-alwar-kota-hosur-0-to-1-yrs-jobid-8ilsS4iAJjVzpSvf__PLUS__uAgZw==&source=srp
4,"
      Computer Clerk","
    HR Empower Consultancy
     (More Jobs) 
",0 - 1 yrs,Salary Information Not Available,(More Jobs),https://www.timesjobs.com/job-detail/computer-clerk-hr-empower-consultancy-palanpur-bhopal-faridkot-jaipur-jodhpur-0-to-1-yrs-jobid-70Ha5GZC72hzpSvf__PLUS__uAgZw==&source=srp
5,"
      Retail Jobs-10th Pass Freshers -Pune","
    2COMS Consulting Pvt Ltd
     (More Jobs) 
",0 - 6 yrs,Salary Information Not Available,(More Jobs),https://www.timesjobs.com/job-detail/retail-jobs-10th-pass-freshers-pune-2coms-pune-0-to-6-yrs-jobid-ib3H2na2NQ9zpSvf__PLUS__uAgZw==&source=srp
6,"
      Computer Assistant","
    HR Empower Consultancy
     (More Jobs) 
",0 - 1 yrs,Salary Information Not Available,(More Jobs),https://www.timesjobs.com/job-detail/computer-assistant-hr-empower-consultancy-srinagar-ropar-coimbatore-moradabad-dehradun-0-to-1-yrs-jobid-M__PLUS__Yis90oarFzpSvf__PLUS__uAgZw==&source=srp
7,"
      Data Entry Specialist","
    HR Empower Consultancy
     (More Jobs) 
",0 - 1 yrs,Salary Information Not Available,(More Jobs),https://www.timesjobs.com/job-detail/data-entry-specialist-hr-empower-consultancy-rajkot-navi-mumbai-gangtok-rudrapur-kharagpur-0-to-1-yrs-jobid-yvDJBcS__SLASH__R3VzpSvf__PLUS__uAgZw==&source=srp
8,"
      Retail Job-10th Pass Freshers - Mumbai","
    2COMS Consulting Pvt Ltd
     (More Jobs) 
",0 - 1 yrs,Salary Information Not Available,(More Jobs),https://www.timesjobs.com/job-detail/retail-job-10th-pass-freshers-mumbai-2coms-mumbai-0-to-1-yrs-jobid-MRaFBTpR9gxzpSvf__PLUS__uAgZw==&source=srp
9,"
      Domestic Voice  process (Fresher)- Kolkata","
    2COMS Consulting Pvt Ltd
     (More Jobs) 
",0 - 5 yrs,Salary Information Not Available,(More Jobs),https://www.timesjobs.com/job-detail/domestic-voice-process-fresher-kolkata-2coms-kolkata-0-to-5-yrs-jobid-gXIzJhQNk6pzpSvf__PLUS__uAgZw==&source=srp
10,"
      Mechanical (Diploma) (Hyderabad N20)","
    2COMS Consulting Pvt Ltd
     (More Jobs) 
",0 - 1 yrs,Salary Information Not Available,(More Jobs),https://www.timesjobs.com/job-detail/mechanical-diploma-hyderabad-n20-2coms-hyderabad-secunderabad-0-to-1-yrs-jobid-VZ__SLASH__0b7Gk5mlzpSvf__PLUS__uAgZw==&source=srp
11,"
      Elite Sales Ambassador for Luxury Brand -Chennai","
    2COMS Consulting Pvt Ltd
     (More Jobs) 
",0 - 6 yrs,Salary Information Not Available,(More Jobs),https://www.timesjobs.com/job-detail/elite-sales-ambassador-for-luxury-brand-chennai-2coms-chennai-0-to-6-yrs-jobid-ewxZjvHqKLRzpSvf__PLUS__uAgZw==&source=srp
12,"
      Elite Sales Ambassador for Luxury Brand (Hyderabad)","
    2COMS Consulting Pvt Ltd
     (More Jobs) 
",0 - 5 yrs,Salary Information Not Available,(More Jobs),https://www.timesjobs.com/job-detail/elite-sales-ambassador-for-luxury-brand-hyderabad-2coms-hyderabad-secunderabad-0-to-5-yrs-jobid-ntVO5PFf2PlzpSvf__PLUS__uAgZw==&source=srp
13,"
      Elite Sales Ambassador for Luxury Brand (Bangalore)","
    2COMS Consulting Pvt Ltd
     (More Jobs) 
",0 - 5 yrs,Salary Information Not Available,(More Jobs),https://www.timesjobs.com/job-detail/elite-sales-ambassador-for-luxury-brand-bangalore-2coms-bengaluru-bangalore-0-to-5-yrs-jobid-YMCtlbZPATlzpSvf__PLUS__uAgZw==&source=srp
14,"
      Required Air Ground Staff and Air Hostess Vacancies 964841O848","
    JITENDRA KUMAR
     (More Jobs) 
",0 - 3 yrs,Rs 5.50 - 9.50 Lacs p.a.,(More Jobs),https://www.timesjobs.com/job-detail/required-air-ground-staff-and-air-hostess-vacancies-964841o848-air-fly-career-alwar-jaipur-jaisalmer-jodhpur-udaipur-0-to-3-yrs-jobid-PX69kBP3DOFzpSvf__PLUS__uAgZw==&source=srp
15,"
      Required Air Ground Staff and Air Hostess Vacancies 964841O848","
    JITENDRA KUMAR
     (More Jobs) 
",0 - 3 yrs,Rs 5.50 - 9.50 Lacs p.a.,(More Jobs),https://www.timesjobs.com/job-detail/required-air-ground-staff-and-air-hostess-vacancies-964841o848-air-fly-career-bokaro-dhanbad-jamshedpur-ranchi-ajmer-0-to-3-yrs-jobid-__SLASH__JC2ezhw7S5zpSvf__PLUS__uAgZw==&source=srp
16,"
      Finance Executive (work from home)","
    Busibud Solutions Pvt. Ltd
     (More Jobs) 
",0 - 2 yrs,Rs 1.80 - 3.00 Lacs p.a.,(More Jobs),https://www.timesjobs.com/job-detail/finance-executive-work-from-home-busibud-solutions-pvt-ltd-bengaluru-bangalore-gurgaon-0-to-2-yrs-jobid-ALHuNPtoPNxzpSvf__PLUS__uAgZw==&source=srp
17,"
      Gynecologist","
    Space COnsultant
     (More Jobs) 
",0 - 3 yrs,Rs 1.00 - 1.05 Lacs p.a.,(More Jobs),https://www.timesjobs.com/job-detail/gynecologist-space-consultants-other-city-s-in-tamil-nadu-0-to-3-yrs-jobid-__SLASH__7__PLUS__D4Zgx4dZzpSvf__PLUS__uAgZw==&source=srp
18,"
      Data Administrator","
    HR Empower Consultancy
     (More Jobs) 
",0 - 1 yrs,Salary Information Not Available,(More Jobs),https://www.timesjobs.com/job-detail/data-administrator-hr-empower-consultancy-ahmedabad-guntur-itanagar-bhagalpur-hissar-0-to-1-yrs-jobid-A__PLUS__zooqdFL8BzpSvf__PLUS__uAgZw==&source=srp
19,"
      HR Recruiter Executive (work from home)","
    Busibud Solutions Pvt. Ltd
     (More Jobs) 
",0 - 3 yrs,Rs 3.60 - 4.00 Lacs p.a.,(More Jobs),https://www.timesjobs.com/job-detail/hr-recruiter-executive-work-from-home-busibud-solutions-pvt-ltd-bengaluru-bangalore-chennai-gurgaon-0-to-3-yrs-jobid-MWlcmeeJ5ntzpSvf__PLUS__uAgZw==&source=srp
20,"
      HR Recruiter Executive(WFH)","
    Busibud Solutions Pvt. Ltd
     (More Jobs) 
",0 - 3 yrs,Rs 3.60 - 4.00 Lacs p.a.,(More Jobs),https://www.timesjobs.com/job-detail/hr-recruiter-executive-wfh-busibud-solutions-pvt-ltd-bengaluru-bangalore-gurgaon-0-to-3-yrs-jobid-IWoiFuEjn7RzpSvf__PLUS__uAgZw==&source=srp
21,"
      Data Entry Operator","
    HR Empower Consultancy
     (More Jobs) 
",0 - 1 yrs,Salary Information Not Available,(More Jobs),https://www.timesjobs.com/job-detail/data-entry-operator-hr-empower-consultancy-sonepat-bilaspur-udhampur-chandigarh-lucknow-0-to-1-yrs-jobid-bHH2o3QyzoBzpSvf__PLUS__uAgZw==&source=srp
22,"
      Project Manager (work from home)","
    Busibud Solutions Pvt. Ltd
     (More Jobs) 
",0 - 2 yrs,Rs 4.00 - 6.00 Lacs p.a.,(More Jobs),https://www.timesjobs.com/job-detail/project-manager-work-from-home-busibud-solutions-pvt-ltd-bengaluru-bangalore-chennai-gurgaon-0-to-2-yrs-jobid-__SLASH__juDN2LvC9tzpSvf__PLUS__uAgZw==&source=srp
23,"
      Data Entry Clerk","
    HR Empower Consultancy
     (More Jobs) 
",0 - 1 yrs,Salary Information Not Available,(More Jobs),https://www.timesjobs.com/job-detail/data-entry-clerk-hr-empower-consultancy-botad-shimla-satara-bathinda-mathura-0-to-1-yrs-jobid-axcr492jcH5zpSvf__PLUS__uAgZw==&source=srp
24,"
      Data Entry Executive (work from home)","
    Busibud Solutions Pvt. Ltd
     (More Jobs) 
",0 - 3 yrs,Rs 2.50 - 3.00 Lacs p.a.,(More Jobs),https://www.timesjobs.com/job-detail/data-entry-executive-work-from-home-busibud-solutions-pvt-ltd-bengaluru-bangalore-chennai-gurgaon-0-to-3-yrs-jobid-sd0HfRfpnNpzpSvf__PLUS__uAgZw==&source=srp
